Teszt sz m:;UK_1;;
Tesztel‹ neve:;Ungi Keve;;
Teszt id‹pontja:;2019.06.17;;
Teszt t rgya:;http://www.mintantermunk.nhely.hu/web/index.htm;Teszt rgyt¢l val¢ elt‚r‚s;Hiba jelens‚g
Tesztl‚p‚s:;Megjelen‚s tesztel‚se a feladatokn l;Nem megfelel‹ k‚pm‚ret;Felbont s hiba
Tesztl‚p‚s:;F‹ log¢;Meg lehetne csin lni, hogy a log¢ra val¢ kattint skor visszal‚pjnk a f‹menbe;Friss¡t‚s
Tesztl‚p‚s:;;;
Tesztl‚p‚s:;;;
Kil‚p‚si felt‚tel:;;;
