Teszt szám:;21;;
Tesztelõ neve:;Ádám Andrea;;
Teszt idõpontja:;;;
Teszt tárgya:;Weboldal mûködése;Tesztárgytól való eltérés;Hiba jelenség
Tesztlépés:;Weboldal használata;;Nem minden funkció használható
Tesztlépés:;Link aktivitása;;Nem aktívak a linkek
Tesztlépés:;Feladatok helyessége;;Tartalmilag helyesek
Tesztlépés:;Feladatok hasznossága;;
Kilépési feltétel:;megfelelõ mûködés;;
