Teszt szám:;6;;
Tesztelõ neve:;Csík Krisztián;;
Teszt idõpontja:;2019.05.14-16;;
Teszt tárgya:;Weboldal mûködése;Tesztárgytól való eltérés;Hiba jelenség
Tesztlépés:;Weboldal címe;;
Tesztlépés:;Weboldal elérése;;
Tesztlépés:;Ovisok feldatai;;
Tesztlépés:;Alsósok feladatai;;
Tesztlépés:;Felsõsök feladatai;;
Tesztlépés:;Linkek;;Hiányoznak
Kilépési feltétel:;Mûködés;;
